mood,song,artist,activity,motivation
Happy,Happy,Pharrell Williams,Dance or go for a walk,Keep smiling and enjoy the moment
Happy,On Top of the World,Imagine Dragons,Spend time with friends,You can achieve great things
Happy,Best Day Of My Life,American Authors,Take some photos,Make today memorable
Happy,Good Life,OneRepublic,Go outside and enjoy nature,Life is beautiful
Happy,Count on Me,Bruno Mars,Call a friend,Share your happiness
Sad,Someone Like You,Adele,Talk to someone you trust,It is okay to have difficult days
Sad,Let Her Go,Passenger,Take a peaceful walk,Better days are coming
Sad,Fix You,Coldplay,Write your thoughts in a journal,You are stronger than you think
Sad,Perfect,Ed Sheeran,Listen and relax,Give yourself time
Sad,The Night We Met,Lord Huron,Spend some quiet time,Tomorrow is a new day
Angry,Stronger,Kelly Clarkson,Do some exercise,Turn your energy into strength
Angry,Believer,Imagine Dragons,Go for a run,You can control your energy
Angry,Hall of Fame,The Script,Try a workout,Use your energy positively
Angry,Roar,Katy Perry,Take deep breaths,You are stronger than your emotions
Angry,Eye of the Tiger,Survivor,Exercise for 20 minutes,Stay strong and focused
Relaxed,Perfect,Ed Sheeran,Practice meditation,Enjoy the peace around you
Relaxed,Weightless,Marconi Union,Take deep breaths,Slow down and enjoy the moment
Relaxed,All of Me,John Legend,Read a book,Give yourself time to relax
Relaxed,Photograph,Ed Sheeran,Watch the sunset,Peace begins with you
Relaxed,A Thousand Years,Christina Perri,Do some gentle stretching,Stay calm and positive
Energetic,Don't Stop Me Now,Queen,Dance to the music,Nothing can stop your energy
Energetic,Wake Me Up,Avicii,Go for a workout,Use your energy wisely
Energetic,Thunder,Imagine Dragons,Play a sport,Keep moving forward
Energetic,Can't Stop the Feeling,Justin Timberlake,Dance with friends,Enjoy your positive energy
Energetic,Stronger,Kanye West,Go for a run,Push yourself to do more
